SF,R,CS,SB,SLG,SH
2,34,0,3,0.469,0
0,5,0,1,0.308,0
2,22,3,5,0.301,2
0,0,0,0,0.0,0
1,29,3,6,0.307,8
1,33,4,11,0.397,5
0,10,0,0,0.348,0
6,53,4,5,0.379,1
4,76,8,16,0.446,1
2,9,0,2,0.382,1
0,2,0,0,0.25,0
3,55,4,15,0.397,1
3,43,1,0,0.329,1
0,11,2,10,0.379,0
0,60,10,21,0.299,6
0,0,1,0,0.229,0
0,21,2,10,0.329,0
0,2,0,0,0.462,0
2,54,9,24,0.328,6
10,50,3,13,0.39,2
1,27,11,21,0.406,4
0,12,0,1,0.272,3
6,51,8,18,0.385,5
2,28,0,0,0.444,0
1,38,1,2,0.401,0
1,31,3,10,0.397,4
1,38,8,18,0.303,4
1,15,2,0,0.266,4
0,4,2,1,0.244,3
3,53,2,3,0.422,1
1,8,1,0,0.224,1
0,20,0,3,0.51,0
0,12,1,7,0.32,1
2,68,7,11,0.416,5
1,33,1,1,0.487,0
2,47,2,5,0.355,0
0,5,0,0,0.229,0
3,36,4,7,0.229,4
1,8,3,2,0.16,2
0,0,0,0,0.333,0
2,31,11,7,0.366,5
3,34,1,7,0.384,0
1,6,0,0,0.591,0
0,8,0,0,0.317,0
1,24,6,6,0.377,4
0,1,0,1,0.167,0
2,46,1,1,0.441,0
0,5,0,0,0.296,1
1,13,0,1,0.342,2
2,45,2,7,0.417,1
2,30,1,1,0.325,4
2,32,1,10,0.428,0
3,32,1,2,0.344,5
0,10,0,0,0.25,3
2,33,2,15,0.4,3
2,28,0,4,0.36,0
0,3,0,0,0.295,0
3,22,4,7,0.335,0
0,4,0,0,0.143,0
1,13,2,1,0.25,4
1,14,0,2,0.43,0
3,32,1,0,0.381,3
0,1,0,0,0.286,0
1,42,0,1,0.441,0
4,37,4,4,0.41,1
4,27,3,16,0.252,7
0,4,1,0,0.389,0
3,44,4,17,0.269,1
0,2,1,0,0.636,0
3,24,2,2,0.478,0
0,7,0,0,0.271,0
3,40,4,9,0.447,0
0,8,0,0,0.31,1
0,0,0,0,0.143,2
1,18,1,0,0.224,2
0,1,0,0,0.283,0
1,1,0,0,0.778,0
0,8,0,2,0.198,0
0,5,2,0,0.302,0
3,36,6,14,0.32,7
0,1,0,0,0.19,0
1,25,0,2,0.39,1
4,44,0,0,0.454,0
2,31,8,20,0.278,1
0,36,6,14,0.335,3
0,0,0,0,0.111,0
2,32,3,13,0.402,2
2,48,11,15,0.373,6
2,12,2,2,0.339,1
3,38,5,11,0.316,2
11,57,1,3,0.319,0
0,13,4,1,0.243,1
0,16,2,2,0.3,1
6,53,11,19,0.314,3
1,2,0,0,0.533,0
0,15,2,5,0.301,1
2,8,0,1,0.318,0
0,18,0,1,0.318,3
1,27,2,2,0.578,0
4,53,3,1,0.362,2
6,61,5,11,0.441,0
2,34,5,11,0.344,0
4,7,0,1,0.349,0
6,44,3,1,0.423,1
0,0,1,0,0.185,1
0,1,3,4,0.444,0
3,41,8,10,0.278,9
3,37,4,3,0.498,1
4,59,5,6,0.453,1
0,6,1,3,0.333,0
3,27,1,2,0.349,0
2,46,7,14,0.403,3
6,62,4,13,0.466,2
2,27,3,7,0.382,1
0,3,0,0,0.357,0
5,53,1,1,0.415,0
1,39,5,1,0.405,5
0,1,0,0,0.455,0
1,21,1,2,0.344,0
1,26,0,0,0.583,1
1,4,1,2,0.141,1
0,6,2,2,0.321,1
0,0,0,0,0.2,0
1,3,0,0,0.55,0
2,7,2,0,0.243,3
1,4,0,0,0.208,1
4,40,5,4,0.388,0
2,32,4,7,0.34,1
0,0,0,0,0.125,0
0,3,0,0,0.185,0
3,41,6,8,0.456,1
0,0,0,0,0.08,0
2,73,14,40,0.311,6
