COMPARE WHAT YOU ARE USING!,WYDWL,Easy Walk,Sense-ation,Freedom,Gentle Leader,Halti Head Harness,Sporn,Yuppy Puppy,Prong/ Pincher/,Choke collar,Flat collar
"IS KIND: COERCION, FORCE, STRESS FREE. Doesn’t use pressure, compression, squeezing or pain",YES,NO,yes,NO,NO (dogs hate it!),NO (dogs hate it!,NO (pinches dog’s nerves),NO (pinches dog’s nerves),NO,NO,NO
CHAFE-FREE. Designed so it doesn't rub dogs sensitive armpits or nose/ eyes,YES,NO,NO,na,NO,NO,NO,NO,NO,NO,na
"GENTLE ON DOG’S BODY. No hard, heavy and uncomfortable rings and buckles on dog",YES,NO,NO,NO,NO (dogs hate it!),NO (dogs hate it),NO (needs padding),NO (needs padding),NO,NO,NO
NO HARD SEWN SPOTS No doubled over and sewn webbing . . . which chafes/cuts dogs,YES,NO,NO,NO,na,na,na,na,na,na,na
PASSES THE COMFORT TEST Would you wear it if it was your bra or underwear?,YES,NO,NO,NO,NOT ON MY NOSE!,NOT ON MY NOSE!,NO,NO,NO WAY!,NO WAY!,NO WAY!
"EASY SIMPLE ADJUSTMENT Not confusing, No more “which end is up?” Nothing to ‘figure out’",YES,NO,NO,NO,NO,NO,NO,NO,NO,NO ('p' or 'q'?),yes
IS POSITIVE - Tells the dog What You Want – not what you don’t want. Doesn’t use force to get results,YES,NO,yes,NO,NO,NO,NO,NO,NO,NO,NO
EASY TO BUY THE RIGHT SIZE. No need for multiple body measurements and purchaser confusion,YES,NO,NO,na,na,na,na,na,na,na,na
HIGH ATTACH POINT FOR MORE CONTROL Lead is attached where dog’s energy center is located,YES,NO,yes,na,na,na,na,na,na,na,na
"Leads from the front – provides steering, doesn’t promote more pulling",YES,yes,yes,yes + NO,yes,yes,NO,NO,NO,NO,NO
MADE IN USA. Supports USA workers,YES,NO,?,yes,NO,na,NO,na,na,na,na
